E,2D,0,-1
E,4S,1,0
S,4H,0,1
E,3D,0,-1
N,5D,0,-1
S,5C,0,0
W,3NT,0,0
S,4h,0,1
E,5S,1,-1
E,3H,0,0
W,4C,0,-1
E,2NT,0,-1
